"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.026066181E0	1.025378704E-3	4.843652248E-3	7.388591766E-2	7.405161171E-2
1.036066181E0	-6.173089147E-3	1.678821445E-2	7.149219513E-2	7.369589635E-2
1.046066181E0	9.495913982E-4	-4.742279649E-3	4.994297028E-2	5.017660032E-2
1.056066181E0	-1.336077601E-2	1.677027345E-2	6.909847260E-2	7.234881700E-2
1.066066181E0	8.194610476E-3	-2.355426550E-3	6.670379639E-2	6.724653246E-2
1.076066181E0	1.306563616E-3	-7.477000356E-3	5.713462830E-2	5.763660637E-2
1.086066181E0	8.435413241E-3	9.433448315E-3	5.473709106E-2	5.618091564E-2
1.096065981E0	1.300811768E-3	4.540458322E-3	4.995059967E-2	5.017340212E-2
1.106065981E0	-1.172535121E-3	-3.202870488E-3	6.193065643E-2	6.202450664E-2
1.116065981E0	-1.563921571E-2	-1.559300721E-2	6.193828583E-2	6.575772345E-2
1.126065981E0	-1.218579710E-3	-1.263007522E-3	6.433391571E-2	6.435784983E-2
1.136066181E0	1.111708581E-3	8.394464850E-3	6.912040710E-2	6.963715685E-2
1.146066181E0	-3.616921604E-3	1.086547971E-2	4.996585846E-2	5.126136735E-2
1.156066181E0	-1.319385320E-2	2.286177874E-2	6.433105469E-2	6.953576983E-2
1.166066181E0	-3.502018750E-3	6.118595600E-3	6.193637848E-2	6.233631627E-2
1.176066181E0	1.354910433E-3	-5.880668759E-3	6.672573090E-2	6.699806871E-2
1.186065981E0	-8.180908859E-3	-5.923360586E-3	8.348655701E-2	8.409529518E-2
1.196065981E0	2.054801211E-2	3.678083420E-3	6.912136078E-2	7.220465092E-2
1.206065747E0	4.209530354E-2	-3.654256463E-3	8.588314056E-2	9.571458616E-2
1.216065747E0	-1.594040543E-2	-6.043970585E-3	7.869625092E-2	8.052158725E-2
1.226065747E0	-1.595587283E-2	-6.070166826E-3	7.869625092E-2	8.052662113E-2
1.236065747E0	-6.854698062E-3	6.194725633E-3	7.868862152E-2	7.922916551E-2
1.246065747E0	-4.475750029E-3	-8.196622133E-3	6.432342529E-2	6.499784607E-2
1.256065747E0	-2.084523439E-3	-9.896606207E-4	6.432342529E-2	6.436480177E-2
1.266065547E0	-9.261429310E-3	6.156027317E-3	7.390022278E-2	7.473227999E-2
1.276065547E0	-9.213730693E-3	-5.744889379E-3	6.671714783E-2	6.759492881E-2
1.286065547E0	4.900395870E-4	6.313115358E-3	6.192779541E-2	6.225068199E-2
1.296065547E0	1.012802869E-2	-3.361240029E-3	6.432437897E-2	6.520353234E-2
1.306065547E0	2.925835550E-3	-2.010472119E-2	6.432437897E-2	6.745654940E-2
1.316065447E0	2.196571603E-2	-1.295138896E-2	5.714035034E-2	6.257196492E-2
1.326065447E0	7.391005754E-3	1.143790781E-2	5.713176727E-2	5.873237210E-2
1.336065447E0	2.597786486E-3	2.110280097E-2	5.952453613E-2	6.320796710E-2
1.346064580E0	-1.411145926E-2	-1.970256865E-2	6.192016602E-2	6.649384523E-2
1.356064580E0	-9.317889810E-3	-1.967541873E-2	7.628536224E-2	7.933096284E-2
1.366064580E0	-2.374145389E-2	7.442697883E-3	6.908893585E-2	7.343249581E-2
1.376064580E0	-1.410925388E-2	2.660454810E-2	6.669425964E-2	7.317784702E-2
1.386064780E0	-4.600346088E-3	-2.090260386E-3	7.148170471E-2	7.166007592E-2
1.396064780E0	1.296633109E-2	-1.181553304E-2	7.148933411E-2	7.361017222E-2
1.406064780E0	5.772512406E-3	2.411156893E-4	6.430530548E-2	6.456432722E-2
1.416064780E0	-3.665231168E-3	-1.137460768E-2	7.627105713E-2	7.720161770E-2
1.426064780E0	-3.609247506E-3	-4.160776734E-3	6.429958344E-2	6.453506923E-2
1.436064580E0	-1.558242738E-2	7.834434509E-3	7.148170471E-2	7.357869607E-2
1.446064580E0	1.787195355E-2	-4.120588303E-3	6.190395355E-2	6.456380903E-2
1.456064580E0	-8.456952870E-3	1.020796597E-2	6.908798218E-2	7.034821890E-2
1.466064580E0	-1.312915236E-2	1.022391021E-2	5.472373962E-2	5.719782041E-2
1.476064580E0	-8.348286152E-3	1.749320328E-2	6.908702850E-2	7.175460647E-2
1.486064580E0	1.627549529E-3	5.217954516E-3	6.670093536E-2	6.692451528E-2
1.496064580E0	-3.165751696E-3	2.846986055E-3	6.191158295E-2	6.205780705E-2
1.506064580E0	2.323165908E-2	4.212558270E-4	6.670093536E-2	7.063216136E-2
1.516064580E0	1.566059142E-2	-6.866455078E-5	4.994773865E-2	5.234534778E-2
1.526064580E0	3.101728857E-3	6.854400039E-3	6.910228729E-2	6.951064401E-2
1.536064580E0	1.033377647E-2	-7.548436522E-3	5.713176727E-2	5.854745649E-2
1.546064580E0	5.545046180E-3	4.447489977E-3	2.600765228E-2	2.696155933E-2
1.556064580E0	7.866524160E-3	4.525080323E-3	2.600574493E-2	2.754373475E-2
1.566064780E0	-2.176001668E-3	-9.888157248E-3	2.121448517E-2	2.350670155E-2
1.576064780E0	-1.647417247E-2	-9.809300303E-3	7.388687134E-2	7.633407160E-2
1.586064780E0	2.740532160E-3	-1.941959560E-2	5.712795258E-2	6.040061403E-2
1.596064780E0	-9.246408939E-3	9.261369705E-3	4.515838623E-2	4.701647471E-2
1.606064780E0	2.672359347E-3	9.238258004E-3	7.867717743E-2	7.926276026E-2
1.616064780E0	2.725653350E-3	-7.557570934E-3	6.431293488E-2	6.481280473E-2
1.626064780E0	7.513023913E-3	-1.232114434E-2	4.994773865E-2	5.199069842E-2
1.636064980E0	9.897641838E-3	-5.183339119E-3	6.910133362E-2	6.999874732E-2
1.646065846E0	5.054231733E-3	-2.833932638E-3	5.712985992E-2	5.742296864E-2
1.656065846E0	-2.190735191E-3	6.716206670E-3	6.910133362E-2	6.946150776E-2
1.666065846E0	4.991039634E-3	-3.980994225E-4	4.755306244E-2	4.781592525E-2
1.676065846E0	-1.210337877E-2	-1.674976945E-2	6.430244446E-2	6.754147554E-2
1.686065646E0	-9.764626622E-3	2.920627594E-5	4.754257202E-2	4.853498677E-2
1.696065646E0	2.126269042E-3	-7.124304771E-3	5.951309204E-2	5.997570227E-2
1.706065646E0	-9.700272232E-3	-1.741096377E-3	6.429195404E-2	6.504292469E-2
1.716065646E0	-2.240959555E-3	1.202732325E-3	5.231189728E-2	5.237368673E-2
1.726065646E0	-6.731234491E-3	-3.221541643E-3	6.906700134E-2	6.946897525E-2
1.736065646E0	5.537521094E-3	1.633952558E-2	7.145595551E-2	7.350916823E-2
1.746065646E0	-1.658566296E-3	-7.584586740E-3	4.990863800E-2	5.050889966E-2
1.756065646E0	7.340982556E-4	-5.166009068E-3	6.666660309E-2	6.687049063E-2
1.766065646E0	1.270987466E-2	-2.809539437E-3	4.751396179E-2	4.926470330E-2
1.776065646E0	7.924176753E-3	-7.571965456E-3	4.990863800E-2	5.109793915E-2
1.786065646E0	-8.717320859E-3	-2.767711878E-3	7.145595551E-2	7.203891649E-2
1.796065646E0	1.754544675E-2	2.357897162E-2	5.469608307E-2	6.209244807E-2
1.806065646E0	1.755391061E-2	2.360694110E-2	5.469512939E-2	6.210462644E-2
1.816065646E0	-6.413221359E-3	1.343354583E-2	7.625389099E-2	7.769327804E-2
1.826065646E0	-8.763149381E-3	8.994638920E-4	7.147598267E-2	7.201678916E-2
1.836065646E0	1.279116049E-2	1.043920219E-2	7.147598267E-2	7.335807268E-2
1.846065646E0	7.992513478E-3	7.999718189E-3	6.908226013E-2	7.000167446E-2
1.856065646E0	2.455422282E-2	-9.221389890E-3	5.711841583E-2	6.285266356E-2
1.866065446E0	1.218381524E-2	4.976496100E-3	6.190681458E-2	6.329031962E-2
1.876065446E0	2.046767622E-3	-9.481415153E-3	6.190490723E-2	6.266022686E-2
1.886065646E0	3.904666752E-3	-7.102653384E-3	5.711364746E-2	5.768589805E-2
1.896065646E0	-1.341431588E-2	7.519006729E-3	5.471229553E-2	5.683233776E-2
1.906065646E0	-1.102063432E-2	-4.470512271E-3	7.386589050E-2	7.481717477E-2
1.916065646E0	5.857463926E-3	3.139440715E-2	6.429004669E-2	7.178529646E-2
1.926065646E0	-3.723565489E-3	1.705296338E-2	6.189537048E-2	6.430945022E-2
1.936065446E0	1.064173877E-3	9.244009852E-3	6.908988953E-2	6.971367885E-2
1.946065446E0	1.067154109E-3	6.811857224E-3	5.951404572E-2	5.991211776E-2
1.956065446E0	-6.153620780E-3	-5.608066916E-3	7.628059387E-2	7.673360714E-2
1.966065446E0	5.900949240E-3	8.235991001E-3	6.431961060E-2	6.511271041E-2
1.976065446E0	1.318928972E-2	-8.621856570E-3	8.586978912E-2	8.730357643E-2
1.986065446E0	-1.547529176E-2	-8.587598801E-3	7.150363922E-2	7.366140054E-2
1.996065446E0	1.330586523E-2	9.519755840E-4	5.235099792E-2	5.402387704E-2
2.006065446E0	3.783501685E-3	3.447815776E-2	6.432342529E-2	7.307914401E-2
2.016065446E0	3.513377160E-3	-6.825953722E-3	5.714988708E-2	5.766322101E-2
2.026065446E0	5.892492831E-3	-9.135931730E-3	7.151222229E-2	7.233384171E-2
2.036065446E0	7.648713887E-3	-4.408136010E-3	7.150936127E-2	7.205222575E-2
2.046065446E0	4.607811570E-4	4.037171602E-4	5.953884125E-2	5.954199295E-2
2.056065446E0	4.659779370E-4	-4.421621561E-3	8.587551117E-2	8.599053024E-2
2.066065446E0	-1.146141067E-2	3.910213709E-4	6.911659241E-2	7.006154565E-2
2.076065446E0	2.916041762E-3	-2.037793398E-3	7.390499115E-2	7.399056439E-2
2.086065446E0	2.668287605E-3	7.966682315E-3	8.586692810E-2	8.627697913E-2
2.096065446E0	1.177185401E-2	1.039917767E-2	6.431579590E-2	6.620604991E-2
2.106065446E0	-1.500016823E-2	-6.629869342E-3	7.868289948E-2	8.037386941E-2
2.116065012E0	-5.354806781E-3	-1.762598753E-3	8.107662201E-2	8.127237751E-2
2.126065012E0	2.225264907E-3	-1.549541950E-3	6.192111969E-2	6.198046424E-2
2.136065212E0	2.297453582E-3	-8.716359735E-3	8.107471466E-2	8.157427644E-2
2.146065212E0	4.534084350E-3	1.328131557E-2	6.669998169E-2	6.816039041E-2
2.156065212E0	-1.216914132E-2	1.274853945E-3	6.191253662E-2	6.311002649E-2
2.166065212E0	1.661350951E-2	8.464127779E-3	6.909656525E-2	7.156804794E-2
2.176065212E0	-2.054795623E-4	-1.071433723E-2	6.191349030E-2	6.283406341E-2
2.186065012E0	1.654144004E-2	-1.069575548E-2	5.951881409E-2	6.269376089E-2
2.196065012E0	-1.980761811E-2	-8.091881871E-3	6.430149078E-2	6.776800133E-2
2.206065012E0	1.804344356E-3	-3.269672394E-3	8.345508575E-2	8.353860039E-2
2.216065012E0	-5.925148726E-4	1.351410151E-2	8.105945587E-2	8.218039547E-2
2.226064578E0	-6.029494107E-4	-1.526091993E-2	6.908988953E-2	7.075784098E-2
2.236064578E0	-1.023423672E-2	1.342570782E-2	7.148456573E-2	7.345088406E-2
2.246064578E0	4.240158945E-3	-1.772998273E-2	8.106136322E-2	8.308595455E-2
2.256064578E0	-4.891455173E-4	2.047874033E-2	6.430530548E-2	6.748918715E-2
2.266064578E0	9.139545262E-3	1.288190484E-3	7.148838043E-2	7.208175400E-2
2.276064578E0	3.741230816E-2	-1.298666000E-2	6.669521332E-2	7.756665275E-2
2.286064578E0	-3.725029528E-3	-1.036165655E-2	7.626533508E-2	7.705609065E-2
2.296064578E0	-8.974906057E-3	-4.138648510E-4	6.189060211E-2	6.253932245E-2
2.306064578E0	1.969374716E-4	1.665568352E-2	4.272937775E-2	4.586120692E-2
2.316064578E0	-1.655390859E-2	-4.863739014E-3	7.385349274E-2	7.584211387E-2
2.326064578E0	-1.183455065E-2	-2.161014080E-2	6.188201904E-2	6.660659919E-2
2.336064578E0	-1.616478711E-2	5.891770124E-4	9.060382843E-2	9.203641235E-2
2.346064578E0	-1.611538976E-2	6.153732538E-4	6.905651093E-2	7.091464004E-2
2.356064578E0	1.088368148E-2	1.991117001E-2	6.426906586E-2	6.815733298E-2
2.366064578E0	-7.813788950E-3	5.438700318E-3	6.906223297E-2	6.971532674E-2
2.376064578E0	4.206258804E-3	-4.176154733E-3	6.666851044E-2	6.693148112E-2
2.386064778E0	1.384862885E-2	5.304053426E-3	7.864189148E-2	8.002789888E-2
2.396064778E0	1.993056387E-3	2.209827304E-2	6.427669525E-2	6.799852570E-2
2.406064778E0	-1.957072690E-2	7.814586163E-3	7.145786285E-2	7.450038437E-2
2.416065211E0	2.242147923E-3	-4.722774029E-3	5.949878693E-2	5.972802916E-2
2.426065211E0	9.357966483E-3	-1.182518899E-2	6.667900085E-2	6.836297087E-2
2.436065011E0	4.620034248E-3	9.684830904E-3	6.189155579E-2	6.281484971E-2
2.446065011E0	4.691265523E-3	7.198154926E-3	5.231571198E-2	5.301655521E-2
2.456065011E0	-2.877825871E-2	2.371653914E-3	6.668281555E-2	7.266643521E-2
2.466065011E0	-1.986451447E-3	9.251624346E-3	7.147884369E-2	7.210245237E-2
2.476065011E0	2.674898133E-2	-2.756670117E-3	4.514408112E-2	5.254612538E-2
2.486065011E0	2.669516951E-3	-2.666264772E-3	7.866001129E-2	7.875044549E-2
2.496065011E0	2.678584307E-3	1.166310906E-2	6.429576874E-2	6.539991441E-2
2.506065011E0	-1.175315678E-2	9.349063039E-3	5.711078644E-2	5.905238015E-2
2.516065011E0	-2.127318457E-2	-1.702289283E-2	8.584213257E-2	9.006219510E-2
2.526065444E0	-1.403150707E-2	-1.462012529E-2	7.387256622E-2	7.660148363E-2
2.536065444E0	-8.682597429E-3	-2.319663763E-3	6.429386139E-2	6.491894138E-2
2.546065444E0	-9.888187051E-4	5.104616284E-3	7.865715027E-2	7.882881553E-2
2.556065444E0	8.584197611E-3	5.061998963E-3	7.147502899E-2	7.216641914E-2
2.566065444E0	-3.395065665E-3	1.705285907E-2	7.147502899E-2	7.355954216E-2
2.576065444E0	-5.791939795E-3	-2.143085003E-3	5.232238770E-2	5.268559228E-2
2.586065444E0	1.581579819E-2	1.930592954E-2	8.105373383E-2	8.480899808E-2
2.596065444E0	1.451022923E-3	1.770555973E-4	7.147693634E-2	7.149188237E-2
2.606065444E0	-5.738042295E-3	4.988119006E-3	6.668758392E-2	6.711959706E-2
2.616065444E0	-9.225718677E-4	6.814911962E-3	7.148647308E-2	7.181650227E-2
2.626065444E0	-3.087826073E-3	-5.262017250E-3	7.388496399E-2	7.413643773E-2
2.636065644E0	-1.027119905E-2	6.733417511E-3	9.303760529E-2	9.384472515E-2
2.646065644E0	1.600340009E-2	2.111631632E-2	6.430721283E-2	6.955160136E-2
2.656065644E0	1.829724386E-2	6.253108382E-3	6.431484222E-2	6.715868840E-2
2.666065644E0	8.793376386E-3	1.345068216E-2	9.065151215E-2	9.206487372E-2
2.676065644E0	2.038224041E-2	5.899176002E-3	5.713653564E-2	6.094932081E-2
2.686065444E0	1.483088359E-2	-6.747126579E-3	8.347988129E-2	8.505509629E-2
2.696065444E0	9.374327958E-3	7.397875190E-3	6.432628632E-2	6.542535971E-2
2.706065444E0	6.275251508E-3	2.329111099E-3	9.784603119E-2	9.807471315E-2
2.716065444E0	1.402832568E-3	1.193472743E-2	9.066200256E-2	9.145493080E-2
2.726065444E0	-8.819915354E-3	-1.722268760E-2	4.996490479E-2	5.358081359E-2
2.736065444E0	-1.164111868E-2	-1.483011246E-2	4.996299744E-2	5.340176956E-2
2.746065444E0	-4.399556667E-3	-7.682278752E-3	9.066390991E-2	9.109510451E-2
2.756065444E0	7.694188505E-3	-5.335777998E-3	6.911849976E-2	6.974982489E-2
2.766065444E0	1.248767227E-2	6.598234177E-3	7.151317596E-2	7.289453333E-2
2.776065444E0	-1.886427402E-3	1.380343735E-2	5.475425720E-2	5.649886877E-2
2.786065444E0	1.258543134E-2	1.799970865E-3	6.912040710E-2	7.027989510E-2
2.796065444E0	-4.643559456E-3	4.240363836E-3	7.390499115E-2	7.417203682E-2
2.806065444E0	-1.667344943E-2	-1.016925275E-2	4.756927490E-2	5.142230578E-2
2.816065444E0	-4.656646401E-3	-5.419939756E-3	8.348369598E-2	8.378894675E-2
2.826065444E0	-2.206947654E-3	1.136977971E-2	6.672286987E-2	6.772063107E-2
2.836065444E0	1.448766887E-2	-7.766336203E-3	6.432819366E-2	6.639521841E-2
2.846065444E0	-4.786506295E-3	4.153206944E-3	6.672286987E-2	6.702313880E-2
2.856065444E0	-1.909831166E-2	6.510734558E-3	5.954170227E-2	6.286771415E-2
2.866065444E0	-9.464785457E-3	1.126354933E-2	7.151317596E-2	7.301084881E-2
2.876065444E0	7.241193205E-3	1.602974534E-2	5.954265594E-2	6.208635512E-2
2.886065644E0	2.273805439E-4	3.599271178E-3	7.631111145E-2	7.639628385E-2
